"Table 1--Corn, sorghum, barley, and oats: Planted acreage, harvested acreage, production, yield, and farm price",,,,,,,,
Commodity and mkt yr 1/,,Planted acreage (Million acres),Harvested for grain (Million acres),Production (Million bushels),Yield per harvested acre (Bushels per acre),Weighted-average farm price (Million bushels) 2/,Loan rate (dollars per bushel),
,1925/26,,44.24,"1,405.27",31.80,0.37,,
,1926/27,43.94,42.85,"1,152.91",26.90,0.39,,
,1927/28,40.53,40.35,"1,093.22",27.10,0.46,,
,1928/29,40.24,40.13,"1,312.91",32.70,0.39,,
,1929/30,40.53,38.15,"1,112.95",29.20,0.40,,
,1930/31,42.61,39.85,"1,274.59",32.00,0.31,,
,1931/32,44.48,40.19,"1,124.23",28.00,0.20,,
,1932/33,45.55,41.70,"1,254.58",30.10,0.15,,
,1933/34,43.77,36.53,736.31,20.20,0.33,,
,1934/35,40.47,29.46,544.25,18.50,0.46,,
,1935/36,43.60,40.11,"1,210.23",30.20,0.26,,
,1936/37,41.93,33.65,792.58,23.60,0.43,,
,1937/38,39.83,35.54,"1,176.74",33.10,0.30,,
,1938/39,39.39,36.04,"1,089.38",30.20,0.23,,
,1939/40,38.20,33.46,957.70,28.60,0.31,,
,1940/41,39.32,35.43,"1,246.45",35.20,0.30,,
,1941/42,41.84,38.16,"1,182.51",31.00,0.41,,
,1942/43,43.02,38.20,"1,342.68",35.20,0.48,,
,1943/44,43.47,38.91,"1,139.83",29.30,0.71,,
,1944/45,44.14,39.74,"1,149.24",28.90,0.69,,
,1945/46,46.03,41.74,"1,523.85",36.50,0.65,,
,1946/47,46.52,42.81,"1,477.57",34.50,0.81,,
,1947/48,42.06,37.86,"1,176.14",31.10,1.04,,
,1948/49,43.84,39.28,"1,450.19",36.90,0.72,,
,1949/50,43.13,37.79,"1,220.12",32.30,0.66,,
,1950/51,45.04,39.31,"1,369.20",34.80,0.79,,
,1951/52,41.02,35.23,"1,277.65",36.30,0.82,,
,1952/53,42.34,37.01,"1,217.43",32.90,0.79,,
,1953/54,43.22,37.54,"1,153.21",30.70,0.74,,
,1954/55,46.90,40.55,"1,409.60",34.80,0.71,,
,1955/56,47.49,39.03,"1,495.98",38.30,0.60,,
,1956/57,44.21,33.33,"1,151.40",34.50,0.69,,
,1957/58,41.84,34.07,"1,289.88",37.90,0.61,,
,1958/59,37.70,31.25,"1,401.41",44.80,0.58,,
,1959/60,35.06,27.76,"1,050.05",37.80,0.65,,
,1960/61,31.42,26.59,"1,153.33",43.40,0.60,,
,1961/62,32.31,23.89,"1,010.31",42.30,0.64,,
,1962/63,29.50,22.38,"1,012.20",45.20,0.62,,
,1963/64,28.05,21.31,965.51,45.30,0.62,,
,1964/65,25.63,19.76,852.26,43.10,0.63,,
,1965/66,24.05,18.52,929.55,50.20,0.62,,
,1966/67,23.34,17.88,803.32,44.90,0.67,,
,1967/68,20.72,16.11,793.80,49.30,0.66,,
,1968/69,23.34,17.71,950.69,53.70,0.60,,
,1969/70,23.56,17.97,965.86,53.70,0.58,,
,1970/71,24.41,18.59,915.24,49.20,0.62,,
,1971/72,21.83,15.71,878.08,55.90,0.60,,
,1972/73,19.99,13.41,690.62,51.50,0.72,,
,1973/74,18.61,13.77,659.14,47.90,1.18,,
,1974/75,17.01,12.61,600.66,47.60,1.53,,
,1975/76,16.43,13.04,638.96,49.00,1.45,0.54,
,1976/77,16.62,11.83,540.44,45.70,1.56,0.72,
,1977/78,17.73,13.49,752.77,55.80,1.09,1.03,
,1978/79,16.41,11.13,581.66,52.30,1.20,1.03,
,1979/80,13.96,9.68,526.75,54.40,1.33,1.08,
,1980/81,13.38,8.66,458.79,53.00,1.72,1.16,
,1981/82,13.63,9.41,509.53,54.20,1.88,1.24,
,1982/83,13.95,10.26,592.63,57.80,1.49,1.31,
,1983/84,20.29,9.06,476.47,52.60,1.62,1.36,
,1984/85,12.41,8.16,473.66,58.00,1.67,1.31,
,1985/86,13.24,8.15,518.49,63.60,1.23,1.31,
,1986/87,14.67,6.84,385.00,56.30,1.21,0.99,
,1987/88,17.91,6.89,373.71,54.30,1.56,0.94,
,1988/89,13.91,5.53,217.38,39.30,2.61,0.90,
,1989/90,12.09,6.88,373.59,54.30,1.49,0.85,
,1990/91,10.42,5.95,357.65,60.10,1.14,0.81,
,1991/92,8.65,4.82,243.85,50.60,1.21,0.83,
,1992/93,7.94,4.50,294.23,65.40,1.32,0.88,
,1993/94,7.94,3.80,206.73,54.40,1.36,0.88,
,1994/95,6.64,4.01,228.84,57.10,1.22,0.97,
,1995/96,6.23,2.95,161.09,54.60,1.67,0.97,
,1996/97,4.64,2.66,153.25,57.70,1.96,1.03,
,1997/98,5.07,2.81,167.25,59.50,1.60,1.11,
,1998/99,4.89,2.75,165.77,60.20,1.10,1.11,
,1999/00,4.67,2.45,145.63,59.60,1.12,1.13,
,2000/01,4.47,2.33,149.17,64.20,1.10,1.16,
,2001/02,4.40,1.91,117.60,61.50,1.59,1.21,
,2002/03,5.00,2.06,116.00,56.40,1.81,1.35,
,2003/04,4.60,2.22,144.38,65.00,1.48,1.35,
,2004/05,4.09,1.79,115.70,64.70,1.48,1.33,
,2005/06,4.25,1.82,114.86,63.00,1.63,1.33,
,2006/07,4.17,1.56,93.52,59.80,1.87,1.33,
,2007/08,3.76,1.50,90.43,60.10,2.63,1.33,
,2008/09,3.26,1.41,90.05,63.70,3.15,1.33,
,2009/10,3.35,1.34,91.04,67.90,2.02,1.33,
,2010/11,3.11,1.27,81.86,64.60,2.52,1.39,
,2011/12,2.35,0.88,50.13,57.30,3.49,1.39,
,2012/13,2.70,1.01,61.49,61.20,3.89,1.39,
,2013/14,2.98,1.01,64.64,64.10,3.75,1.39,
,2014/15,2.75,1.04,70.23,67.90,3.21,1.39,
,2015/16,3.09,1.28,89.46,70.20,2.12,1.39,
,2016/17,2.83,0.98,64.63,66.00,2.06,1.39,
,2017/18,2.59,0.80,49.59,61.70,2.59,1.39,
,2018/19,2.75,0.87,56.13,64.90,2.66,1.39,
,2019/20,2.83,0.83,53.26,64.30,2.82,2.00,
,2020/21,2.98,1.00,65.36,65.09,2.77,2.00,
,2021/22,2.35,0.72,41.31,57.21,3.60,2.00,
,,,,,,,,
"1/ Corn and sorghum, September-August; barley and oats, June-May. Latest data may be preliminary or projected.",,,,,,,,
2/ U.S. season-average price based on monthly price received by farmers weighted by monthly marketings. Prices,,,,,,,,
do not include an allowance for loans outstanding and government purchases. Latest data are from World Agricultural,,,,,,,,
Supply and Demand Estimates.,,,,,,,,
"Source: USDA, National Agricultural Statistics Service, Crop Production and Agricultural Prices; and USDA,",,,,,,,,
"World Agricultural Outlook Board, World Agricultural Supply and Demand Estimates.",,,,,,,,
Date run: 7/12/2021 4:19:56 PM,,,,,,,,
